hour,wind_id,available_MW
1,1,85.1405997436497
2,1,75.57003684583327
3,1,44.107317780116624
4,1,41.56229984981387
5,1,42.38781313863973
6,1,52.267654870204694
7,1,83.75159940879792
8,1,70.64071293146637
9,1,113.53779503159976
10,1,93.45390064810839
11,1,114.92571108349028
12,1,130.87221297200585
13,1,129.6530868207674
14,1,97.70116767233156
15,1,115.94317520346496
16,1,105.38082897974625
17,1,73.21912767117458
18,1,86.22840432477345
19,1,73.62273293428852
20,1,102.92742332381948
21,1,101.55840018901286
22,1,115.95573542397221
23,1,63.94440031240545
24,1,75.81503860295756
1,2,86.73913844067687
2,2,77.43462588109409
3,2,44.16581048128916
4,2,55.71648435896909
5,2,50.76596596658338
6,2,40.782234767037764
7,2,55.9460147063769
8,2,66.80762997366719
9,2,108.58306604954109
10,2,89.61808765192056
11,2,116.15265968289697
12,2,128.11049244483746
13,2,116.85367873399426
14,2,93.3451709377049
15,2,124.70900615392404
16,2,95.71862508753703
17,2,77.0538653336973
18,2,83.48834498305254
19,2,83.96424517845034
20,2,101.25522328260344
21,2,97.47882979202757
22,2,104.09976045553016
23,2,74.2832618076845
24,2,89.00389055264985
1,3,86.74529453723603
2,3,57.842272113864155
3,3,43.37320465717213
4,3,46.45373198600794
5,3,59.74260078944461
6,3,49.73020314708203
7,3,71.22831014926464
8,3,56.48493605511514
9,3,99.53314987463582
10,3,88.00705797502816
11,3,116.94678074208771
12,3,126.51863983546887
13,3,131.2729786475429
14,3,95.2140161331248
15,3,123.11939869044532
16,3,94.20048683963282
17,3,80.92870357693872
18,3,80.28665513860656
19,3,80.76346404915427
20,3,102.76053425747533
21,3,91.21529015897828
22,3,111.49804388987381
23,3,62.69499633591033
24,3,89.29582375743223
1,4,81.65682095755477
2,4,67.33088123242229
3,4,40.82309695719001
4,4,57.4872988268072
5,4,44.57642491424465
6,4,49.49124177457432
7,4,65.57865441629819
8,4,64.26956673923229
9,4,107.31322395458687
10,4,115.53075990404513
11,4,101.61622606751892
12,4,137.76275519259633
13,4,127.37392425406225
14,4,109.36999279851831
15,4,118.70524591282448
16,4,97.94319761195402
17,4,88.73567237713608
18,4,86.61628854978743
19,4,82.37940499767097
20,4,103.94229777553115
21,4,98.89873183560304
22,4,119.10004806511
23,4,66.62120359379189
24,4,97.68567367613025
1,5,69.28190398236043
2,5,69.91711072933121
3,5,45.51550491048131
4,5,61.48212472457237
5,5,55.13242907520627
6,5,58.120906648064775
7,5,75.06814895064448
8,5,68.87244526799816
9,5,93.13281290399557
10,5,100.13213310105007
11,5,109.58719586491326
12,5,138.79592638055271
13,5,118.21577352835308
14,5,100.69448745988538
15,5,114.24844252616504
16,5,95.63471471927333
17,5,79.10084542219174
18,5,88.99516803150924
19,5,73.6876272001734
20,5,113.11753892453329
21,5,89.54634236636048
22,5,107.15064588829928
23,5,55.45853975058852
24,5,92.07941547269327
1,6,88.68500494241842
2,6,73.9977605858365
3,6,50.814516886139096
4,6,56.3548746275182
5,6,45.941339343742875
6,6,50.60626606231051
7,6,70.06859250023335
8,6,67.40410162594678
9,6,98.50505293354598
10,6,95.82029769138984
11,6,120.59102690411333
12,6,133.15560779479742
13,6,121.15927020974881
14,6,95.51027994215286
15,6,118.75255581037156
16,6,96.08579470757657
17,6,86.6950338233573
18,6,85.84699658492727
19,6,86.89701123638702
20,6,95.74933110003782
21,6,106.57285825770167
22,6,99.89104734955666
23,6,71.06417103551813
24,6,88.00544644962697
